#,apiName,displayName,backingDatasetRID,properties,status
74,GhlFormQA,[GHL] Form Q&A,ri.foundry.main.dataset.a06014c2-c1af-4e12-b088-65b51dada6f2,13,experimental
75,GhlFormQuestion,[GHL] Form Question,ri.foundry.main.dataset.a2c3fcda-1ef7-47cd-b4b2-7db54cf73411,6,experimental
76,GhlFormSubmission,[GHL] Form Submission,ri.foundry.main.dataset.176c2e0e-f88f-4cef-b8c9-454166c8ea69,56,experimental
77,GhlMessageV2,[Funnelbox] eMail,ri.foundry.main.dataset.f269aea4-d346-4ab8-97a2-2449a1b3fb1c,22,experimental
78,GhlSchmerzfreiUmfrageV2,[Funnelbox] Schmerzfrei Umfrage temp,ri.foundry.main.dataset.fea119c6-6f71-4343-893f-244c8f32e2fa,22,experimental
79,GhlSurvey,[GHL] Survey,ri.foundry.main.dataset.576cd205-0096-4a29-a0f1-31398551e9be,7,experimental
80,GhlSurveyQA,[GHL] Survey Q&A,ri.foundry.main.dataset.88df83a4-93fc-415f-ad80-02fa8b905250,13,experimental
81,GhlSurveyQuestion,[GHL] Survey Question,ri.foundry.main.dataset.2ece6e1c-2173-4e7c-94af-eb7dca6a1bd6,6,experimental
82,GhlSurveySubmission,[GHL] Survey Submission,ri.foundry.main.dataset.ce2f697d-6b27-460b-afc7-f0566ec78015,45,experimental
83,GhlTobUserV2,[Funnelbox] TOB Member v2,ri.foundry.main.dataset.7dd47fb6-09d5-4c43-bbfe-95610aa7983b,6,experimental
84,GhlUser,TOB Member [Funnelbox],ri.foundry.main.dataset.beffed11-04ed-4feb-851f-7bab945512a2,5,experimental
85,IdMatch,[TOB] ID Matcher,ri.foundry.main.dataset.5b0c6bfe-6628-40a9-becd-6617438a45bb,18,active
86,InboxAst,Inbox [AST],ri.foundry.main.dataset.220bb1e4-ad30-43d5-b22c-33b63ea9ada2,4,experimental
87,InitiativeAst,Initiative [AST],ri.foundry.main.dataset.1bcd5160-2214-490c-a438-3efd09f58dcf,5,experimental
88,InsightCall,[Insight] Call,ri.foundry.main.dataset.d9ff1857-8f94-48fb-aa0b-fbf22d5ca6a6,19,active
89,InsightKickscale,Insight [Kickscale],ri.foundry.main.dataset.22c00314-e847-4775-b0fe-3e6387900401,18,active
90,InsightQueue,Calls Insight Queue,ri.foundry.main.dataset.3f30f3ed-c284-4da0-a89c-db16c940ae2b,7,experimental
91,InsightRelevanceDeterminatorSystemPromptDataset,Insight Relevance Determinator System Prompt,ri.foundry.main.dataset.71e8944f-d3c1-48f4-a7b3-0606b2905f1e,6,experimental
92,InsightScopeCall,[Insight] Scope Call,ri.foundry.main.dataset.6a2ab926-5d20-4fcb-abf4-19be44067ab8,5,experimental
93,InsightScopeRun,[Insight] Scope Run,ri.foundry.main.dataset.1d442d38-5e38-454a-b5a4-5ce17d3e93f4,6,experimental
94,InsightType,Insight Type,ri.foundry.main.dataset.e5fcb5a2-1649-4f83-84b7-6790eb453c73,8,experimental
95,InsightTypeResponse,Insight Type Response,ri.foundry.main.dataset.cecf997e-00e2-43c7-af93-9835d6d2fa2c,7,experimental
